species max_log10_error_dex cubic_vs_piecewise_dex pchip_vs_piecewise_dex cubic_vs_pchip_dex
CH3CH2OH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C10H3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3CHCH2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3CHO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3CHOH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3CHS 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3CHSH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3CN 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3CN+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3CNH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C10N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C10N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C8H3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C8N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C8N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5H+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5H- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3O 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3N- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5H2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5H2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5H3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5H3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5H3N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3H9+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5H4 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5H4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5H4N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5H5+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
